Class, Attribute Name, pluck, nativepluck, nativepluck_raw_to_sql, nativepluck_raw_string
Array, id,221408,10760,10480,8320
Array, integer_col,221408,10760,10480,8320
Array, string_col,221408,10760,10480,8320
Array, datetime_col,302208,10760,10480,8320
Array, float_col,221408,10760,10480,8320
Array, json_col,221408,10760,10480,8320
Array, jsonb_col,221408,10760,10480,8320
Array, created_at,302208,10760,10480,8320
Array, updated_at,302208,10760,10480,8320
PG::Result, id,30976,30976,30976,30976
PG::Result, integer_col,30976,30976,30976,30976
PG::Result, string_col,39168,39168,39168,39168
PG::Result, datetime_col,53504,53504,53504,53504
PG::Result, float_col,43264,43264,43264,43264
PG::Result, json_col,133376,133376,133376,133376
PG::Result, jsonb_col,139520,139520,139520,139520
PG::Result, created_at,51456,51456,51456,51456
PG::Result, updated_at,51456,51456,51456,51456
String, id,2482,616,456,0
String, integer_col,2635,760,600,0
String, string_col,83434,41160,41000,40400
String, datetime_col,393373,760,600,0
String, float_col,2633,760,600,0
String, json_col,422844,420972,420812,420212
String, jsonb_col,429915,428042,427882,427282
String, created_at,391503,760,600,0
String, updated_at,391504,760,600,0
Hash, id,2120,968,968,0
Hash, integer_col,2120,968,968,0
Hash, string_col,2120,968,968,0
Hash, datetime_col,2120,968,968,0
Hash, float_col,2120,968,968,0
Hash, json_col,583880,582728,582728,581760
Hash, jsonb_col,583880,582728,582728,581760
Hash, created_at,2120,968,968,0
Hash, updated_at,2120,968,968,0
ActiveRecord::Relation, id,480,480,480,0
ActiveRecord::Relation, integer_col,480,480,480,0
ActiveRecord::Relation, string_col,480,480,480,0
ActiveRecord::Relation, datetime_col,480,480,480,0
ActiveRecord::Relation, float_col,480,480,480,0
ActiveRecord::Relation, json_col,480,480,480,0
ActiveRecord::Relation, jsonb_col,480,480,480,0
ActiveRecord::Relation, created_at,480,480,480,0
ActiveRecord::Relation, updated_at,480,480,480,0
MatchData, id,280,0,0,0
MatchData, integer_col,280,0,0,0
MatchData, string_col,280,0,0,0
MatchData, datetime_col,283080,0,0,0
MatchData, float_col,280,0,0,0
MatchData, json_col,280,0,0,0
MatchData, jsonb_col,280,0,0,0
MatchData, created_at,283080,0,0,0
MatchData, updated_at,283080,0,0,0
Time, id,258,0,0,0
Time, integer_col,258,0,0,0
Time, string_col,258,0,0,0
Time, datetime_col,246698,86860,86860,86860
Time, float_col,258,0,0,0
Time, json_col,258,0,0,0
Time, jsonb_col,258,0,0,0
Time, created_at,246698,86860,86860,86860
Time, updated_at,246698,86860,86860,86860
Arel::Nodes::SelectCore, id,104,104,104,0
Arel::Nodes::SelectCore, integer_col,104,104,104,0
