Class, Attribute Name, pluck, nativepluck, nativepluck_raw_to_sql, nativepluck_raw_string
Array, id,5130,67,60,6
Array, integer_col,5130,67,60,6
Array, string_col,5130,67,60,6
Array, datetime_col,7150,67,60,6
Array, float_col,5130,67,60,6
Array, json_col,5130,67,60,6
Array, jsonb_col,5130,67,60,6
Array, created_at,7150,67,60,6
Array, updated_at,7150,67,60,6
String, id,33,13,9,0
String, integer_col,33,13,9,0
String, string_col,2053,1023,1019,1010
String, datetime_col,9123,13,9,0
String, float_col,33,13,9,0
String, json_col,7103,7083,7079,7070
String, jsonb_col,7103,7083,7079,7070
String, created_at,9123,13,9,0
String, updated_at,9123,13,9,0
Hash, id,14,9,9,0
Hash, integer_col,14,9,9,0
Hash, string_col,14,9,9,0
Hash, datetime_col,14,9,9,0
Hash, float_col,14,9,9,0
Hash, json_col,3044,3039,3039,3030
Hash, jsonb_col,3044,3039,3039,3030
Hash, created_at,14,9,9,0
Hash, updated_at,14,9,9,0
ActiveRecord::Relation, id,4,4,4,0
ActiveRecord::Relation, integer_col,4,4,4,0
ActiveRecord::Relation, string_col,4,4,4,0
ActiveRecord::Relation, datetime_col,4,4,4,0
ActiveRecord::Relation, float_col,4,4,4,0
ActiveRecord::Relation, json_col,4,4,4,0
ActiveRecord::Relation, jsonb_col,4,4,4,0
ActiveRecord::Relation, created_at,4,4,4,0
ActiveRecord::Relation, updated_at,4,4,4,0
Time, id,3,0,0,0
Time, integer_col,3,0,0,0
Time, string_col,3,0,0,0
Time, datetime_col,3033,1010,1010,1010
Time, float_col,3,0,0,0
Time, json_col,3,0,0,0
Time, jsonb_col,3,0,0,0
Time, created_at,3033,1010,1010,1010
Time, updated_at,3033,1010,1010,1010
Arel::Attributes::Attribute, id,2,2,2,0
Arel::Attributes::Attribute, integer_col,2,2,2,0
Arel::Attributes::Attribute, string_col,2,2,2,0
Arel::Attributes::Attribute, datetime_col,2,2,2,0
Arel::Attributes::Attribute, float_col,2,2,2,0
Arel::Attributes::Attribute, json_col,2,2,2,0
Arel::Attributes::Attribute, jsonb_col,2,2,2,0
Arel::Attributes::Attribute, created_at,2,2,2,0
Arel::Attributes::Attribute, updated_at,2,2,2,0
ActiveModel::Attribute::WithCastValue, id,1,1,1,0
ActiveModel::Attribute::WithCastValue, integer_col,1,1,1,0
ActiveModel::Attribute::WithCastValue, string_col,1,1,1,0
ActiveModel::Attribute::WithCastValue, datetime_col,1,1,1,0
ActiveModel::Attribute::WithCastValue, float_col,1,1,1,0
ActiveModel::Attribute::WithCastValue, json_col,1,1,1,0
ActiveModel::Attribute::WithCastValue, jsonb_col,1,1,1,0
ActiveModel::Attribute::WithCastValue, created_at,1,1,1,0
ActiveModel::Attribute::WithCastValue, updated_at,1,1,1,0
ActiveRecord::Result, id,1,0,0,0
ActiveRecord::Result, integer_col,1,0,0,0
ActiveRecord::Result, string_col,1,0,0,0
ActiveRecord::Result, datetime_col,1,0,0,0
ActiveRecord::Result, float_col,1,0,0,0
ActiveRecord::Result, json_col,1,0,0,0
ActiveRecord::Result, jsonb_col,1,0,0,0
ActiveRecord::Result, created_at,1,0,0,0
ActiveRecord::Result, updated_at,1,0,0,0
ActiveSupport::Notifications::Event, id,1,0,0,0
ActiveSupport::Notifications::Event, integer_col,1,0,0,0
ActiveSupport::Notifications::Event, string_col,1,0,0,0
ActiveSupport::Notifications::Event, datetime_col,1,0,0,0
ActiveSupport::Notifications::Event, float_col,1,0,0,0
ActiveSupport::Notifications::Event, json_col,1,0,0,0
ActiveSupport::Notifications::Event, jsonb_col,1,0,0,0
ActiveSupport::Notifications::Event, created_at,1,0,0,0
ActiveSupport::Notifications::Event, updated_at,1,0,0,0
Arel::Collectors::Bind, id,1,0,0,0
Arel::Collectors::Bind, integer_col,1,0,0,0
Arel::Collectors::Bind, string_col,1,0,0,0
Arel::Collectors::Bind, datetime_col,1,0,0,0
Arel::Collectors::Bind, float_col,1,0,0,0
Arel::Collectors::Bind, json_col,1,0,0,0
Arel::Collectors::Bind, jsonb_col,1,0,0,0
Arel::Collectors::Bind, created_at,1,0,0,0
Arel::Collectors::Bind, updated_at,1,0,0,0
