Attribute Name, Class,pluck,nativepluck,nativepluck_raw_to_sql,nativepluck_raw_string
id,Array,221408,10760,10480,8320
id,PG::Result,30976,30976,30976,30976
id,String,2482,616,456,0
id,Hash,2120,968,968,0
id,ActiveRecord::Relation,480,480,480,0
id,MatchData,280,0,0,0
id,Time,258,0,0,0
id,Arel::Nodes::SelectCore,104,104,104,0
id,ActiveSupport::Notifications::Event,96,0,0,0
id,Arel::Nodes::SelectStatement,88,88,88,0
id,ActiveModel::Attribute::WithCastValue,80,80,80,0
id,Arel::Attributes::Attribute,80,80,80,0
id,ActiveRecord::Result,72,0,0,0
id,Arel::Collectors::Bind,40,0,0,0
id,Arel::Collectors::Composite,40,0,0,0
id,Arel::Collectors::SQLString,40,40,40,0
id,Arel::Nodes::BindParam,40,40,40,0
id,Arel::Nodes::Descending,40,40,40,0
id,Arel::Nodes::JoinSource,40,40,40,0
id,Arel::Nodes::Limit,40,40,40,0
id,Arel::Nodes::Top,40,40,40,0
id,Arel::SelectManager,40,40,40,0
id,PG::TypeMapByColumn,40,40,40,40
id,Arel::Collectors::SubstituteBinds,0,40,40,0
integer_col,Array,221408,10760,10480,8320
integer_col,PG::Result,30976,30976,30976,30976
integer_col,String,2635,760,600,0
integer_col,Hash,2120,968,968,0
integer_col,ActiveRecord::Relation,480,480,480,0
integer_col,MatchData,280,0,0,0
integer_col,Time,258,0,0,0
integer_col,Arel::Nodes::SelectCore,104,104,104,0
integer_col,ActiveSupport::Notifications::Event,96,0,0,0
integer_col,Arel::Nodes::SelectStatement,88,88,88,0
integer_col,ActiveModel::Attribute::WithCastValue,80,80,80,0
integer_col,Arel::Attributes::Attribute,80,80,80,0
integer_col,ActiveRecord::Result,72,0,0,0
integer_col,Arel::Collectors::Bind,40,0,0,0
integer_col,Arel::Collectors::Composite,40,0,0,0
integer_col,Arel::Collectors::SQLString,40,40,40,0
integer_col,Arel::Nodes::BindParam,40,40,40,0
integer_col,Arel::Nodes::Descending,40,40,40,0
integer_col,Arel::Nodes::JoinSource,40,40,40,0
integer_col,Arel::Nodes::Limit,40,40,40,0
integer_col,Arel::Nodes::Top,40,40,40,0
integer_col,Arel::SelectManager,40,40,40,0
integer_col,PG::TypeMapByColumn,40,40,40,40
