Attribute Name, Class,pluck,nativepluck,nativepluck_raw_to_sql,nativepluck_raw_string
id,Array,5130,67,60,6
id,String,33,13,9,0
id,Hash,14,9,9,0
id,ActiveRecord::Relation,4,4,4,0
id,Time,3,0,0,0
id,Arel::Attributes::Attribute,2,2,2,0
id,ActiveModel::Attribute::WithCastValue,1,1,1,0
id,ActiveRecord::Result,1,0,0,0
id,ActiveSupport::Notifications::Event,1,0,0,0
id,Arel::Collectors::Bind,1,0,0,0
id,Arel::Collectors::Composite,1,0,0,0
id,Arel::Collectors::SQLString,1,1,1,0
id,Arel::Nodes::BindParam,1,1,1,0
id,Arel::Nodes::Descending,1,1,1,0
id,Arel::Nodes::JoinSource,1,1,1,0
id,Arel::Nodes::Limit,1,1,1,0
id,Arel::Nodes::SelectCore,1,1,1,0
id,Arel::Nodes::SelectStatement,1,1,1,0
id,Arel::Nodes::Top,1,1,1,0
id,Arel::SelectManager,1,1,1,0
id,MatchData,1,0,0,0
id,PG::Result,1,1,1,1
id,PG::TypeMapByColumn,1,1,1,1
id,Arel::Collectors::SubstituteBinds,0,1,1,0
integer_col,Array,5130,67,60,6
integer_col,String,33,13,9,0
integer_col,Hash,14,9,9,0
integer_col,ActiveRecord::Relation,4,4,4,0
integer_col,Time,3,0,0,0
integer_col,Arel::Attributes::Attribute,2,2,2,0
integer_col,ActiveModel::Attribute::WithCastValue,1,1,1,0
integer_col,ActiveRecord::Result,1,0,0,0
integer_col,ActiveSupport::Notifications::Event,1,0,0,0
integer_col,Arel::Collectors::Bind,1,0,0,0
integer_col,Arel::Collectors::Composite,1,0,0,0
integer_col,Arel::Collectors::SQLString,1,1,1,0
integer_col,Arel::Nodes::BindParam,1,1,1,0
integer_col,Arel::Nodes::Descending,1,1,1,0
integer_col,Arel::Nodes::JoinSource,1,1,1,0
integer_col,Arel::Nodes::Limit,1,1,1,0
integer_col,Arel::Nodes::SelectCore,1,1,1,0
integer_col,Arel::Nodes::SelectStatement,1,1,1,0
integer_col,Arel::Nodes::Top,1,1,1,0
integer_col,Arel::SelectManager,1,1,1,0
integer_col,MatchData,1,0,0,0
integer_col,PG::Result,1,1,1,1
integer_col,PG::TypeMapByColumn,1,1,1,1
integer_col,Arel::Collectors::SubstituteBinds,0,1,1,0
string_col,Array,5130,67,60,6
string_col,String,2053,1023,1019,1010
string_col,Hash,14,9,9,0
string_col,ActiveRecord::Relation,4,4,4,0
string_col,Time,3,0,0,0
string_col,Arel::Attributes::Attribute,2,2,2,0
string_col,ActiveModel::Attribute::WithCastValue,1,1,1,0
string_col,ActiveRecord::Result,1,0,0,0
string_col,ActiveSupport::Notifications::Event,1,0,0,0
string_col,Arel::Collectors::Bind,1,0,0,0
string_col,Arel::Collectors::Composite,1,0,0,0
string_col,Arel::Collectors::SQLString,1,1,1,0
string_col,Arel::Nodes::BindParam,1,1,1,0
string_col,Arel::Nodes::Descending,1,1,1,0
string_col,Arel::Nodes::JoinSource,1,1,1,0
string_col,Arel::Nodes::Limit,1,1,1,0
string_col,Arel::Nodes::SelectCore,1,1,1,0
string_col,Arel::Nodes::SelectStatement,1,1,1,0
string_col,Arel::Nodes::Top,1,1,1,0
string_col,Arel::SelectManager,1,1,1,0
string_col,MatchData,1,0,0,0
string_col,PG::Result,1,1,1,1
string_col,PG::TypeMapByColumn,1,1,1,1
string_col,Arel::Collectors::SubstituteBinds,0,1,1,0
datetime_col,String,9123,13,9,0
datetime_col,Array,7150,67,60,6
datetime_col,Time,3033,1010,1010,1010
datetime_col,Rational,2020,0,0,0
datetime_col,MatchData,1011,0,0,0
datetime_col,Hash,14,9,9,0
datetime_col,ActiveRecord::Relation,4,4,4,0
datetime_col,Arel::Attributes::Attribute,2,2,2,0
datetime_col,ActiveModel::Attribute::WithCastValue,1,1,1,0
datetime_col,ActiveRecord::Result,1,0,0,0
datetime_col,ActiveSupport::Notifications::Event,1,0,0,0
datetime_col,Arel::Collectors::Bind,1,0,0,0
datetime_col,Arel::Collectors::Composite,1,0,0,0
datetime_col,Arel::Collectors::SQLString,1,1,1,0
datetime_col,Arel::Nodes::BindParam,1,1,1,0
datetime_col,Arel::Nodes::Descending,1,1,1,0
datetime_col,Arel::Nodes::JoinSource,1,1,1,0
datetime_col,Arel::Nodes::Limit,1,1,1,0
datetime_col,Arel::Nodes::SelectCore,1,1,1,0
datetime_col,Arel::Nodes::SelectStatement,1,1,1,0
datetime_col,Arel::Nodes::Top,1,1,1,0
datetime_col,Arel::SelectManager,1,1,1,0
datetime_col,PG::Result,1,1,1,1
datetime_col,PG::TypeMapByColumn,1,1,1,1
datetime_col,Arel::Collectors::SubstituteBinds,0,1,1,0
float_col,Array,5130,67,60,6
float_col,String,33,13,9,0
float_col,Hash,14,9,9,0
float_col,ActiveRecord::Relation,4,4,4,0
float_col,Time,3,0,0,0
float_col,Arel::Attributes::Attribute,2,2,2,0
float_col,ActiveModel::Attribute::WithCastValue,1,1,1,0
float_col,ActiveRecord::Result,1,0,0,0
float_col,ActiveSupport::Notifications::Event,1,0,0,0
float_col,Arel::Collectors::Bind,1,0,0,0
float_col,Arel::Collectors::Composite,1,0,0,0
float_col,Arel::Collectors::SQLString,1,1,1,0
float_col,Arel::Nodes::BindParam,1,1,1,0
float_col,Arel::Nodes::Descending,1,1,1,0
float_col,Arel::Nodes::JoinSource,1,1,1,0
float_col,Arel::Nodes::Limit,1,1,1,0
float_col,Arel::Nodes::SelectCore,1,1,1,0
float_col,Arel::Nodes::SelectStatement,1,1,1,0
float_col,Arel::Nodes::Top,1,1,1,0
float_col,Arel::SelectManager,1,1,1,0
float_col,MatchData,1,0,0,0
float_col,PG::Result,1,1,1,1
float_col,PG::TypeMapByColumn,1,1,1,1
float_col,Arel::Collectors::SubstituteBinds,0,1,1,0
json_col,String,7103,7083,7079,7070
json_col,Array,5130,67,60,6
json_col,Hash,3044,3039,3039,3030
json_col,JSON::Ext::Parser,1010,1010,1010,1010
json_col,ActiveRecord::Relation,4,4,4,0
json_col,Time,3,0,0,0
json_col,Arel::Attributes::Attribute,2,2,2,0
json_col,ActiveModel::Attribute::WithCastValue,1,1,1,0
json_col,ActiveRecord::Result,1,0,0,0
json_col,ActiveSupport::Notifications::Event,1,0,0,0
json_col,Arel::Collectors::Bind,1,0,0,0
json_col,Arel::Collectors::Composite,1,0,0,0
json_col,Arel::Collectors::SQLString,1,1,1,0
json_col,Arel::Nodes::BindParam,1,1,1,0
json_col,Arel::Nodes::Descending,1,1,1,0
json_col,Arel::Nodes::JoinSource,1,1,1,0
json_col,Arel::Nodes::Limit,1,1,1,0
json_col,Arel::Nodes::SelectCore,1,1,1,0
json_col,Arel::Nodes::SelectStatement,1,1,1,0
json_col,Arel::Nodes::Top,1,1,1,0
json_col,Arel::SelectManager,1,1,1,0
json_col,MatchData,1,0,0,0
json_col,PG::Result,1,1,1,1
json_col,PG::TypeMapByColumn,1,1,1,1
json_col,Arel::Collectors::SubstituteBinds,0,1,1,0
jsonb_col,String,7103,7083,7079,7070
jsonb_col,Array,5130,67,60,6
jsonb_col,Hash,3044,3039,3039,3030
jsonb_col,JSON::Ext::Parser,1010,1010,1010,1010
jsonb_col,ActiveRecord::Relation,4,4,4,0
jsonb_col,Time,3,0,0,0
jsonb_col,Arel::Attributes::Attribute,2,2,2,0
jsonb_col,ActiveModel::Attribute::WithCastValue,1,1,1,0
jsonb_col,ActiveRecord::Result,1,0,0,0
jsonb_col,ActiveSupport::Notifications::Event,1,0,0,0
jsonb_col,Arel::Collectors::Bind,1,0,0,0
jsonb_col,Arel::Collectors::Composite,1,0,0,0
jsonb_col,Arel::Collectors::SQLString,1,1,1,0
jsonb_col,Arel::Nodes::BindParam,1,1,1,0
jsonb_col,Arel::Nodes::Descending,1,1,1,0
jsonb_col,Arel::Nodes::JoinSource,1,1,1,0
jsonb_col,Arel::Nodes::Limit,1,1,1,0
jsonb_col,Arel::Nodes::SelectCore,1,1,1,0
jsonb_col,Arel::Nodes::SelectStatement,1,1,1,0
jsonb_col,Arel::Nodes::Top,1,1,1,0
jsonb_col,Arel::SelectManager,1,1,1,0
jsonb_col,MatchData,1,0,0,0
jsonb_col,PG::Result,1,1,1,1
jsonb_col,PG::TypeMapByColumn,1,1,1,1
jsonb_col,Arel::Collectors::SubstituteBinds,0,1,1,0
created_at,String,9123,13,9,0
created_at,Array,7150,67,60,6
created_at,Time,3033,1010,1010,1010
created_at,Rational,2020,0,0,0
created_at,MatchData,1011,0,0,0
created_at,Hash,14,9,9,0
created_at,ActiveRecord::Relation,4,4,4,0
created_at,Arel::Attributes::Attribute,2,2,2,0
created_at,ActiveModel::Attribute::WithCastValue,1,1,1,0
created_at,ActiveRecord::Result,1,0,0,0
created_at,ActiveSupport::Notifications::Event,1,0,0,0
created_at,Arel::Collectors::Bind,1,0,0,0
created_at,Arel::Collectors::Composite,1,0,0,0
created_at,Arel::Collectors::SQLString,1,1,1,0
created_at,Arel::Nodes::BindParam,1,1,1,0
created_at,Arel::Nodes::Descending,1,1,1,0
created_at,Arel::Nodes::JoinSource,1,1,1,0
created_at,Arel::Nodes::Limit,1,1,1,0
created_at,Arel::Nodes::SelectCore,1,1,1,0
created_at,Arel::Nodes::SelectStatement,1,1,1,0
created_at,Arel::Nodes::Top,1,1,1,0
created_at,Arel::SelectManager,1,1,1,0
created_at,PG::Result,1,1,1,1
created_at,PG::TypeMapByColumn,1,1,1,1
created_at,Arel::Collectors::SubstituteBinds,0,1,1,0
updated_at,String,9123,13,9,0
updated_at,Array,7150,67,60,6
updated_at,Time,3033,1010,1010,1010
updated_at,Rational,2020,0,0,0
