Method, Attribute Name, Total Allocated, Total Retained
pluck,id,5203,3
nativepluck,id,108,5
nativepluck_raw_to_sql,id,97,5
nativepluck_raw_string,id,8,1
pluck,integer_col,5203,3
nativepluck,integer_col,108,5
nativepluck_raw_to_sql,integer_col,97,5
nativepluck_raw_string,integer_col,8,1
pluck,string_col,7223,1013
nativepluck,string_col,1118,1015
nativepluck_raw_to_sql,string_col,1107,1015
nativepluck_raw_string,string_col,1018,1011
pluck,datetime_col,22373,2023
nativepluck,datetime_col,1118,1015
nativepluck_raw_to_sql,datetime_col,1107,1015
nativepluck_raw_string,datetime_col,1018,1011
pluck,float_col,5203,3
nativepluck,float_col,108,5
nativepluck_raw_to_sql,float_col,97,5
nativepluck_raw_string,float_col,8,1
pluck,json_col,16313,3033
nativepluck,json_col,11218,3035
nativepluck_raw_to_sql,json_col,11207,3035
nativepluck_raw_string,json_col,11118,3031
pluck,jsonb_col,16313,3033
nativepluck,jsonb_col,11218,3035
nativepluck_raw_to_sql,jsonb_col,11207,3035
nativepluck_raw_string,jsonb_col,11118,3031
pluck,created_at,22373,2023
nativepluck,created_at,1118,1015
nativepluck_raw_to_sql,created_at,1107,1015
nativepluck_raw_string,created_at,1018,1011
pluck,updated_at,22373,2023
nativepluck,updated_at,1118,1015
nativepluck_raw_to_sql,updated_at,1107,1015
nativepluck_raw_string,updated_at,1018,1011
